month,geo_region_id,attribution,leads
2022-07-01,6.0,attribution_organic,11752
2022-07-01,6.0,attribution_paid,250
2022-07-01,6.0,attribution_referrer,626
2022-07-01,6.0,FOS,2032
2022-07-01,3.0,attribution_organic,43725
2022-07-01,3.0,attribution_paid,239
2022-07-01,3.0,attribution_referrer,681
2022-07-01,15.0,attribution_organic,1190
2022-07-01,15.0,attribution_paid,12
2022-07-01,15.0,attribution_referrer,22
2022-07-01,15.0,FOS,1999
2022-07-01,5.0,attribution_organic,20130
2022-07-01,5.0,attribution_paid,300
2022-07-01,5.0,attribution_referrer,327
2022-07-01,5.0,FOS,1
2022-07-01,12.0,attribution_organic,2770
2022-07-01,12.0,attribution_paid,158
2022-07-01,12.0,attribution_referrer,80
2022-07-01,12.0,FOS,1129
2022-07-01,2.0,attribution_organic,47680
2022-07-01,2.0,attribution_paid,883
2022-07-01,2.0,attribution_referrer,911
2022-07-01,2.0,FOS,4
2022-07-01,4.0,attribution_organic,23157
2022-07-01,4.0,attribution_paid,239
2022-07-01,4.0,attribution_referrer,483
2022-07-01,4.0,FOS,1518
2022-07-01,13.0,attribution_organic,1603
2022-07-01,13.0,attribution_paid,55
2022-07-01,13.0,attribution_referrer,47
2022-07-01,13.0,FOS,964
2022-07-01,7.0,attribution_organic,3076
2022-07-01,7.0,attribution_paid,54
2022-07-01,7.0,attribution_referrer,182
2022-07-01,7.0,FOS,1024
2022-07-01,9.0,attribution_organic,3746
2022-07-01,9.0,attribution_paid,114
2022-07-01,9.0,attribution_referrer,149
2022-07-01,9.0,FOS,941
2022-07-01,11.0,attribution_organic,3875
2022-07-01,11.0,attribution_paid,62
2022-07-01,11.0,attribution_referrer,103
2022-07-01,11.0,FOS,1581
2022-07-01,1.0,attribution_organic,30955
2022-07-01,1.0,attribution_paid,470
2022-07-01,1.0,attribution_referrer,708
2022-07-01,1.0,FOS,1177
2022-07-01,,attribution_organic,5431
2022-07-01,,attribution_paid,51
2022-07-01,,attribution_referrer,83
2022-07-01,14.0,attribution_organic,1241
2022-07-01,14.0,attribution_paid,31
2022-07-01,14.0,attribution_referrer,23
2022-07-01,14.0,FOS,2505
2022-07-01,8.0,attribution_organic,11834
2022-07-01,8.0,attribution_paid,455
2022-07-01,8.0,attribution_referrer,360
2022-07-01,8.0,FOS,795
2022-07-01,10.0,attribution_organic,4644
2022-07-01,10.0,attribution_paid,141
2022-07-01,10.0,attribution_referrer,363
2022-07-01,10.0,FOS,2823
2022-07-01,16.0,attribution_organic,158
2022-07-01,16.0,attribution_paid,3
2022-07-01,16.0,attribution_referrer,1
2022-07-01,16.0,FOS,1
